height,leftHipAngle,rightHipAngle,leftKneeAngle,RightKneeAngle,chestAngle,chestKneeAngle
1.47505,98.3092,99.443,168.094,167.564,176.851,169.608
1.47505,98.3073,99.448,168.026,167.544,176.853,169.608
1.47503,98.3171,99.4367,168.054,167.572,176.853,169.611
1.47496,98.3102,99.4363,168.09,167.605,176.851,169.618
1.47495,98.3061,99.4447,168.09,167.604,176.851,169.615
1.47486,98.2937,99.4386,168.121,167.633,176.847,169.634
1.47483,98.2632,99.4563,168.163,167.624,176.848,169.637
1.47478,98.2691,99.4505,168.152,167.641,176.851,169.632
1.47459,98.273,99.4499,168.156,167.755,176.851,169.631
1.47464,98.2693,99.4449,168.141,167.713,176.85,169.638
1.47465,98.271,99.4391,168.14,167.702,176.85,169.64
1.47479,98.2851,99.4107,168.132,167.669,176.848,169.641
1.47478,98.2701,99.4179,168.095,167.647,176.848,169.644
1.47477,98.265,99.4098,168.081,167.642,176.849,169.651
1.4748,98.2642,99.4014,168.08,167.648,176.849,169.656
1.4747,98.257,99.4099,168.081,167.674,176.85,169.656
1.47466,98.2449,99.408,168.111,167.659,176.846,169.665
1.47464,98.2509,99.4035,168.093,167.665,176.848,169.663
1.47472,98.2611,99.3804,168.131,167.611,176.851,169.66
1.47472,98.2649,99.3836,168.16,167.578,176.85,169.658
1.47469,98.2675,99.3837,168.155,167.555,176.849,169.665
1.47471,98.2706,99.3774,168.172,167.542,176.847,169.667
1.47471,98.2732,99.3701,168.177,167.552,176.846,169.667
1.47469,98.2701,99.3682,168.173,167.543,176.846,169.668
1.47469,98.2897,99.3435,168.174,167.529,176.846,169.671
1.47463,98.2872,99.3354,168.118,167.553,176.845,169.682
1.47464,98.2897,99.3307,168.103,167.552,176.849,169.671
1.47463,98.2842,99.3492,168.11,167.55,176.85,169.671
1.47476,98.2784,99.3407,168.122,167.547,176.854,169.674
1.47474,98.2798,99.3292,168.151,167.542,176.854,169.675
1.4747,98.2785,99.3232,168.15,167.551,176.856,169.674
1.47464,98.2739,99.303,168.13,167.57,176.86,169.681
